dataset,cell,window,run_id,run_short,protocol,parameter_match_grade,parameter,delta,n_points,coverage_fraction,response_rms_mV,cosine_alignment,projection_fraction,affine_r2,response_bias_mV,centered_response_rms_mV,high_current_response_ratio,high_transition_response_ratio,late_progress_response_ratio,residual_RMSE_mV,residual_Bias_mV,residual_std_mV
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,2000,1.0,0.6046781180263681,0.8182040242924821,0.6694578253684127,0.5457267827988748,0.3712133050155958,0.4773220177189698,1.4582322390306377,1.2000029158440402,1.8606631793920023,152.7932984959594,134.12891857151968,73.17940467173798
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsp,0.2,2000,1.0,8.313730880180012,0.8415402554630604,0.7081900015648331,0.003358603018096984,8.037138879661077,2.1266216817052848,1.1459483949921911,1.099082186987063,0.8390555908274377,152.7932984959594,134.12891857151968,73.17940467173798
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,j0n,0.2,2000,1.0,17.632183015873007,0.7666820759718078,0.5878014056164409,0.44982230255789957,10.114512641858587,14.442662909689588,1.5048211750289493,1.3921902299731004,1.0121814562564322,152.7932984959594,134.12891857151968,73.17940467173798
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,j0p,0.2,2000,1.0,3.0396991458994065,0.7352599494928623,0.5406071933282465,0.5118941675954529,1.5179601589977314,2.633546630169506,1.5835748464773116,1.5409964551886437,1.0131851090925232,152.7932984959594,134.12891857151968,73.17940467173798
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,De,0.2,2000,1.0,3.8098888172888374,0.7364778439725552,0.5423996146624633,0.004960573824258296,3.2713848617772228,1.9527657018283981,1.3188728458991528,1.3288272257005465,0.9469608385497144,152.7932984959594,134.12891857151968,73.17940467173798
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,kappa_e,0.2,2000,1.0,4.534213355034979,0.7327855252791474,0.536974626058636,0.49817966424793536,2.274451347474851,3.9224943361268725,1.5802890465232982,1.5640249811128724,0.9870084087928049,152.7932984959594,134.12891857151968,73.17940467173798
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Rn,0.2,2000,1.0,17.839732144534356,-0.7913402592398423,0.6262194058937807,0.5002615485329964,-10.522643623574938,14.405902059918706,1.5067331292687491,1.365584745108885,1.0669487551479233,152.7932984959594,134.12891857151968,73.17940467173798
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Rp,0.2,2000,1.0,17.658479889035366,-0.8835971024128444,0.7807438393923747,0.09791738642789904,-16.90024574188602,5.118945775775499,1.205329331695501,1.076986410920147,0.860813343673719,152.7932984959594,134.12891857151968,73.17940467173798
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,brug_e,0.2,2000,1.0,12.512629032714106,-0.8919679167880993,0.7956067645793018,0.417821578541828,-10.117571086157144,7.362108436234612,1.459458299628645,1.2393492282260796,0.9779749551907644,152.7932984959594,134.12891857151968,73.17940467173798
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,Dsn,0.2,2000,1.0,0.5202282157022852,0.5366063771715397,0.28794640402116467,0.030955398466457007,0.2679317441639506,0.4459259769087765,1.4102777943476918,1.35524144302671,0.04042173175141369,275.5686436396226,263.4082594649607,80.95780507783844
